PROT.1109.6095431.0001i_00209	PROT.1109.6095431.0001i_00209 153 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00531	PROT.1109.6095431.0001i_00531 315 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00532	PROT.1109.6095431.0001i_00532 888 NA 	 ImmA/IrrE family metallo-endopeptidase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_164823619.1 	 NA	
PROT.1109.6095431.0001i_00533	PROT.1109.6095431.0001i_00533 843 NA 	 thymidylate synthase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_141698111.1 	 NA	
PROT.1109.6095431.0001i_00534	PROT.1109.6095431.0001i_00534 1134 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00535	PROT.1109.6095431.0001i_00535 888 NA 	 nucleoside triphosphate pyrophosphohydrolase family protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_061434913.1 	 NA	
PROT.1109.6095431.0001i_00536	PROT.1109.6095431.0001i_00536 561 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00537	PROT.1109.6095431.0001i_00537 1494 dgt 	 dGTPase 	 3.1.5.1 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_082781482.1 	 NA	
PROT.1109.6095431.0001i_00538	PROT.1109.6095431.0001i_00538 369 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00539	PROT.1109.6095431.0001i_00539 981 NA 	 integrase domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_061434917.1 	 NA	
PROT.1109.6095431.0001i_00540	PROT.1109.6095431.0001i_00540 1323 NA 	 integrase arm-type DNA-binding domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_061434919.1 	 NA	
PROT.1109.6095431.0001i_01009	PROT.1109.6095431.0001i_01009 936 NA 	 restriction endonuclease 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_060764093.1 	 NA	
PROT.1109.6095431.0001i_01010	PROT.1109.6095431.0001i_01010 1038 NA 	 IS630-like element ISPa47 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_011911785.1 	 NA	
PROT.1109.6095431.0001i_01011	PROT.1109.6095431.0001i_01011 1557 NA 	 SAM-dependent DNA methyltransferase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_060764091.1 	 NA	
PROT.1109.6095431.0001i_01012	PROT.1109.6095431.0001i_01012 1512 NA 	 putative DNA binding domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_060764090.1 	 NA	
PROT.1109.6095431.0001i_01013	PROT.1109.6095431.0001i_01013 3465 hsdR 	 type I restriction-modification system endonuclease 	 3.1.21.3 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_060765271.1 	 NA	
PROT.1109.6095431.0001i_01054	PROT.1109.6095431.0001i_01054 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01116	PROT.1109.6095431.0001i_01116 993 NA 	 fimbrial protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_164823626.1 	 NA	
PROT.1109.6095431.0001i_01188	PROT.1109.6095431.0001i_01188 129 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01221	PROT.1109.6095431.0001i_01221 288 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01368	PROT.1109.6095431.0001i_01368 264 NA 	 Na+/H+ antiporter 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068585690.1 	 NA	
PROT.1109.6095431.0001i_01369	PROT.1109.6095431.0001i_01369 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01370	PROT.1109.6095431.0001i_01370 1983 NA 	 hypothetical protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576813.1 	 NA	
PROT.1109.6095431.0001i_01371	PROT.1109.6095431.0001i_01371 1155 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01372	PROT.1109.6095431.0001i_01372 483 NA 	 helix-turn-helix transcriptional regulator 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_083235633.1 	 NA	
PROT.1109.6095431.0001i_01373	PROT.1109.6095431.0001i_01373 315 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01374	PROT.1109.6095431.0001i_01374 498 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01375	PROT.1109.6095431.0001i_01375 279 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01376	PROT.1109.6095431.0001i_01376 243 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01377	PROT.1109.6095431.0001i_01377 1149 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01378	PROT.1109.6095431.0001i_01378 609 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01379	PROT.1109.6095431.0001i_01379 447 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01380	PROT.1109.6095431.0001i_01380 969 NA 	 toll/interleukin-1 receptor domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576828.1 	 NA	
PROT.1109.6095431.0001i_01381	PROT.1109.6095431.0001i_01381 354 NA 	 ATPase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576830.1 	 NA	
PROT.1109.6095431.0001i_01382	PROT.1109.6095431.0001i_01382 1032 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01383	PROT.1109.6095431.0001i_01383 2799 NA 	 SEC-C domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576832.1 	 NA	
PROT.1109.6095431.0001i_01384	PROT.1109.6095431.0001i_01384 114 NA 	 hypothetical protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_083235635.1 	 NA	
PROT.1109.6095431.0001i_01385	PROT.1109.6095431.0001i_01385 873 NA 	 restriction endonuclease 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576835.1 	 NA	
PROT.1109.6095431.0001i_01386	PROT.1109.6095431.0001i_01386 189 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01387	PROT.1109.6095431.0001i_01387 963 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01388	PROT.1109.6095431.0001i_01388 939 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01389	PROT.1109.6095431.0001i_01389 93 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01390	PROT.1109.6095431.0001i_01390 804 NA 	 ATP-binding protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_020300922.1 	 NA	
PROT.1109.6095431.0001i_01391	PROT.1109.6095431.0001i_01391 1509 NA 	 IS21-like element ISPpu27 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_115284415.1 	 NA	
PROT.1109.6095431.0001i_01392	PROT.1109.6095431.0001i_01392 903 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01393	PROT.1109.6095431.0001i_01393 405 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01394	PROT.1109.6095431.0001i_01394 1527 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01395	PROT.1109.6095431.0001i_01395 771 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01397	PROT.1109.6095431.0001i_01397 741 NA 	 ATP-binding protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_034055855.1 	 NA	
PROT.1109.6095431.0001i_01398	PROT.1109.6095431.0001i_01398 1545 NA 	 IS21 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_052169361.1 	 NA	
PROT.1109.6095431.0001i_01399	PROT.1109.6095431.0001i_01399 306 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01400	PROT.1109.6095431.0001i_01400 1071 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01401	PROT.1109.6095431.0001i_01401 486 NA 	 Lrp/AsnC family transcriptional regulator 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_034055851.1 	 NA	
PROT.1109.6095431.0001i_01402	PROT.1109.6095431.0001i_01402 363 NA 	 Dabb family protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_034055849.1 	 NA	
PROT.1109.6095431.0001i_01403	PROT.1109.6095431.0001i_01403 423 NA 	 hypothetical protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_034055847.1 	 NA	
PROT.1109.6095431.0001i_01404	PROT.1109.6095431.0001i_01404 525 NA 	 phenylacetate--CoA ligase family protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580006.1 	 NA	
PROT.1109.6095431.0001i_01405	PROT.1109.6095431.0001i_01405 621 NA 	 LysE family translocator 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_034055845.1 	 NA	
PROT.1109.6095431.0001i_01406	PROT.1109.6095431.0001i_01406 357 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01407	PROT.1109.6095431.0001i_01407 1476 NA 	 integrase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_170245413.1 	 NA	
PROT.1109.6095431.0001i_01408	PROT.1109.6095431.0001i_01408 1029 NA 	 IS30-like element ISPsp8 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_058182715.1 	 NA	
PROT.1109.6095431.0001i_01409	PROT.1109.6095431.0001i_01409 555 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01410	PROT.1109.6095431.0001i_01410 1884 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01411	PROT.1109.6095431.0001i_01411 1389 NA 	 site-specific integrase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_164823630.1 	 NA	
PROT.1109.6095431.0001i_01413	PROT.1109.6095431.0001i_01413 1131 ftsH_2 	 ATP-dependent zinc metalloprotease FtsH 	 3.4.24.- 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068577793.1 	 NA	
PROT.1109.6095431.0001i_01414	PROT.1109.6095431.0001i_01414 1029 NA 	 IS30-like element ISPsp8 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_058182715.1 	 NA	
PROT.1109.6095431.0001i_01415	PROT.1109.6095431.0001i_01415 474 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01416	PROT.1109.6095431.0001i_01416 528 NA 	 radical SAM protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580433.1 	 NA	
PROT.1109.6095431.0001i_01417	PROT.1109.6095431.0001i_01417 630 NA 	 hypothetical protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580431.1 	 NA	
PROT.1109.6095431.0001i_01418	PROT.1109.6095431.0001i_01418 168 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01480	PROT.1109.6095431.0001i_01480 1806 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01481	PROT.1109.6095431.0001i_01481 1353 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01489	PROT.1109.6095431.0001i_01489 294 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01490	PROT.1109.6095431.0001i_01490 153 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01723	PROT.1109.6095431.0001i_01723 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01744	PROT.1109.6095431.0001i_01744 591 NA 	 IS3 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580783.1 	 NA	
PROT.1109.6095431.0001i_01745	PROT.1109.6095431.0001i_01745 696 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01746	PROT.1109.6095431.0001i_01746 828 NA 	 glycosyltransferase family 2 protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580052.1 	 NA	
PROT.1109.6095431.0001i_01747	PROT.1109.6095431.0001i_01747 363 NA 	 multidrug transporter 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580019.1 	 NA	
PROT.1109.6095431.0001i_01748	PROT.1109.6095431.0001i_01748 837 NA 	 sugar phosphate isomerase/epimerase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580017.1 	 NA	
PROT.1109.6095431.0001i_01749	PROT.1109.6095431.0001i_01749 795 NA 	 NAD(P)-dependent oxidoreductase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580016.1 	 NA	
PROT.1109.6095431.0001i_01750	PROT.1109.6095431.0001i_01750 2031 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01751	PROT.1109.6095431.0001i_01751 1008 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01752	PROT.1109.6095431.0001i_01752 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01753	PROT.1109.6095431.0001i_01753 132 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01754	PROT.1109.6095431.0001i_01754 1026 NA 	 glycosyltransferase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068586157.1 	 NA	
PROT.1109.6095431.0001i_01888	PROT.1109.6095431.0001i_01888 561 rfbC_2 	 dTDP-4-dehydrorhamnose 3,5-epimerase 	 5.1.3.13 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068585845.1 	 NA	
PROT.1109.6095431.0001i_01893	PROT.1109.6095431.0001i_01893 609 NA 	 YkgJ family cysteine cluster protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068605546.1 	 NA	
PROT.1109.6095431.0001i_01899	PROT.1109.6095431.0001i_01899 825 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01900	PROT.1109.6095431.0001i_01900 447 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_01902	PROT.1109.6095431.0001i_01902 378 NA 	 flagellar protein FlaG 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578578.1 	 NA	
PROT.1109.6095431.0001i_01903	PROT.1109.6095431.0001i_01903 1473 fliD 	 flagellar filament capping protein FliD 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578576.1 	 NA	
PROT.1109.6095431.0001i_01972	PROT.1109.6095431.0001i_01972 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_01977	PROT.1109.6095431.0001i_01977 387 sdhC 	 succinate dehydrogenase, cytochrome b556 subunit 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_015634665.1 	 NA	
PROT.1109.6095431.0001i_02016	PROT.1109.6095431.0001i_02016 966 pyrF 	 orotidine-5'-phosphate decarboxylase 	 4.1.1.23 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068587945.1 	 NA	
PROT.1109.6095431.0001i_02106	PROT.1109.6095431.0001i_02106 1239 NA 	 site-specific integrase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068577884.1 	 NA	
PROT.1109.6095431.0001i_02110	PROT.1109.6095431.0001i_02110 897 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02111	PROT.1109.6095431.0001i_02111 237 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02112	PROT.1109.6095431.0001i_02112 546 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02113	PROT.1109.6095431.0001i_02113 2046 NA 	 DNA cytosine methyltransferase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068577869.1 	 NA	
PROT.1109.6095431.0001i_02122	PROT.1109.6095431.0001i_02122 723 NA 	 helix-turn-helix domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068577852.1 	 NA	
PROT.1109.6095431.0001i_02123	PROT.1109.6095431.0001i_02123 213 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02126	PROT.1109.6095431.0001i_02126 2697 NA 	 bifunctional DNA primase/polymerase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068577841.1 	 NA	
PROT.1109.6095431.0001i_02128	PROT.1109.6095431.0001i_02128 240 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02145	PROT.1109.6095431.0001i_02145 1722 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02152	PROT.1109.6095431.0001i_02152 471 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02165	PROT.1109.6095431.0001i_02165 219 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02167	PROT.1109.6095431.0001i_02167 162 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02237	PROT.1109.6095431.0001i_02237 273 NA 	 coproporphyrinogen III oxidase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068588437.1 	 NA	
PROT.1109.6095431.0001i_02238	PROT.1109.6095431.0001i_02238 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_02243	PROT.1109.6095431.0001i_02243 1842 NA 	 tyrosine-type recombinase/integrase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068580278.1 	 NA	
PROT.1109.6095431.0001i_02244	PROT.1109.6095431.0001i_02244 1044 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02245	PROT.1109.6095431.0001i_02245 1023 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02246	PROT.1109.6095431.0001i_02246 804 NA 	 ATP-binding protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_020300922.1 	 NA	
PROT.1109.6095431.0001i_02247	PROT.1109.6095431.0001i_02247 1509 NA 	 IS21-like element ISPpu27 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_115284415.1 	 NA	
PROT.1109.6095431.0001i_02248	PROT.1109.6095431.0001i_02248 1293 NA 	 integrating conjugative element protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068585284.1 	 NA	
PROT.1109.6095431.0001i_02249	PROT.1109.6095431.0001i_02249 957 NA 	 TIGR03756 family integrating conjugative element protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068579971.1 	 NA	
PROT.1109.6095431.0001i_02250	PROT.1109.6095431.0001i_02250 255 NA 	 helix-turn-helix transcriptional regulator 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068579968.1 	 NA	
PROT.1109.6095431.0001i_02251	PROT.1109.6095431.0001i_02251 249 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_02252	PROT.1109.6095431.0001i_02252 747 NA 	 zeta toxin family protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068579963.1 	 NA	
PROT.1109.6095431.0001i_02253	PROT.1109.6095431.0001i_02253 2748 NA 	 conjugative transfer ATPase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068579961.1 	 NA	
